Decimal,Hex,Alpha Tag,Mode,Category,Tag,Description
22601,5849,MFC PEARL,T,MFC - Mississippi Forestry Commission,Fire Dispatch,Pearl Office --- MFC - Mississippi Forestry Commission --- Fire Dispatch
22603,584b,MFC CAPITAL FIRE,T,MFC - Mississippi Forestry Commission,Fire-Tac,Capital Fire --- MFC - Mississippi Forestry Commission --- Fire-Tac
22605,584d,MFC CAPITAL FG 1,T,MFC - Mississippi Forestry Commission,Fire-Tac,Capital Fireground 1 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22607,584f,MFC CAPITAL FG 2,T,MFC - Mississippi Forestry Commission,Fire-Tac,Capital Fireground 2 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22611,5853,MFC BAY SPRINGS,T,MFC - Mississippi Forestry Commission,Fire Dispatch,Bay Springs Office --- MFC - Mississippi Forestry Commission --- Fire Dispatch
22613,5855,MFC SC FIRE,T,MFC - Mississippi Forestry Commission,Fire-Tac,South Central Fire --- MFC - Mississippi Forestry Commission --- Fire-Tac
22615,5857,MFC SC FG 1,T,MFC - Mississippi Forestry Commission,Fire-Tac,South Central Fireground 1 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22617,5859,MFC SC FG 2,T,MFC - Mississippi Forestry Commission,Fire-Tac,South Central Fireground 2 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22621,585d,MFC PHILIDELPHIA,T,MFC - Mississippi Forestry Commission,Fire Dispatch,Philidelphia Office --- MFC - Mississippi Forestry Commission --- Fire Dispatch
22623,585f,MFC NC FIRE,T,MFC - Mississippi Forestry Commission,Fire-Tac,North Central Fire --- MFC - Mississippi Forestry Commission --- Fire-Tac
22625,5861,MFC NC FG 1,T,MFC - Mississippi Forestry Commission,Fire-Tac,North Central Fireground 1 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22627,5863,MFC NC FG 2,T,MFC - Mississippi Forestry Commission,Fire-Tac,North Central Fireground 2 --- MFC - Mississippi Forestry Commission --- Fire-Tac
22629,5865,MFC AIRCRAFT,T,MFC - Mississippi Forestry Commission,Fire-Tac,Aircraft --- MFC - Mississippi Forestry Commission --- Fire-Tac
22650,587a,F&W ST WIDE,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Tac,"State Wide --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Tac"
22651,587b,F&W ST C-C,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Talk,"State Car-Car --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Talk"
22652,587c,F&W ST TAC,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Tac,"State Tactical --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Tac"
22653,587d,F&W CENTRL A,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Dispatch,"Central A (West) --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Dispatch"
22655,587f,F&W CENTRL B,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Dispatch,"Central B (East) --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Dispatch"
22840,5938,MEMA PRIMARY,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Primary Net --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22843,593b,MEMA COMMAND,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Command Net --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22846,593e,MEMA TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Tactical Net --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22849,5941,MEMA D4 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 4 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22852,5944,MEMA D5 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 5 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22855,5947,MEMA D6 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 6 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22856,5948,MEMA SAR CMD,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Search And Rescue - Command --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22857,5949,MEMA SAR TAC 1,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Search And Rescue - Tactical 1 --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22858,594a,MEMA SAR TAC 2,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Search and Rescue - Tactical 2 --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22859,594b,MEMA INTERNAL,TE,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Internal Communications --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22900,5974,WCC CMN,T,MSWIN Maintenance,Public Works,MS Wireless Communications Commission - Common Channel --- MSWIN Maintenance --- Public Works
22901,5975,WCC ADMIN,TE,MSWIN Maintenance,Public Works,MS Wireless Communications Commission - Administration --- MSWIN Maintenance --- Public Works
22920,5988,ST OFFICIALS,Te,State Interop - Statewide Interoperability,Interop,State Officials Interop --- State Interop - Statewide Interoperability --- Interop
22924,598c,MEMA RESPONSE,TE,MEMA - Mississippi Emergency Management Agency,Emergency Ops,Response --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
22926,598e,Unified Cmd,T,State Interop - Statewide Interoperability,Interop,Unified Command --- State Interop - Statewide Interoperability --- Interop
22940,599c,61-RPD WIDE,T,Rankin County (61),Law Dispatch,Reservoir Police - Reservoir Wide --- Rankin County (61) --- Law Dispatch
22941,599d,61-RPD DISP,T,Rankin County (61),Law Dispatch,Reservoir Police - Dispatch --- Rankin County (61) --- Law Dispatch
22942,599e,61-RPD CAR-CAR,T,Rankin County (61),Law Talk,Reservoir Police - Car to Car --- Rankin County (61) --- Law Talk
22943,599f,61-RPD TAC,T,Rankin County (61),Law Tac,Reservoir Police - Tactical --- Rankin County (61) --- Law Tac
22944,59a0,61-RPD MARINE,T,Rankin County (61),Law Tac,Reservoir Police - Marine (Boat Patrol) --- Rankin County (61) --- Law Tac
22945,59a1,61-RPD ADMIN,T,Rankin County (61),Law Talk,Reservoir Police - Administration --- Rankin County (61) --- Law Talk
22950,59a6,ST HOSP POLICE,T,MS State Hospital (Whitfield),Law Dispatch,MS State Hospital - Police --- MS State Hospital (Whitfield) --- Law Dispatch
22951,59a7,ST HOSP NURSING,T,MS State Hospital (Whitfield),Business,MS State Hospital - Nursing --- MS State Hospital (Whitfield) --- Business
22952,59a8,ST HOSP FIRE,T,MS State Hospital (Whitfield),Fire Dispatch,MS State Hospital - Fire --- MS State Hospital (Whitfield) --- Fire Dispatch
22953,59a9,ST HOSP TRSP,T,MS State Hospital (Whitfield),Transportation,MS State Hospital - Transportation --- MS State Hospital (Whitfield) --- Transportation
22954,59aa,ST HOSP COMMON,T,MS State Hospital (Whitfield),Business,MS State Hospital - Common --- MS State Hospital (Whitfield) --- Business
22955,59ab,ST HOSP EVENTS,T,MS State Hospital (Whitfield),Business,MS State Hospital - Special Events --- MS State Hospital (Whitfield) --- Business
22975,59bf,ECCC PD DISP,T,Colleges and Universities,Law Talk,East Central Community College - Police --- Colleges and Universities --- Law Talk
23000,59d8,MDOT D1 WIDE,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 1 Wide --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23001,59d9,MDOT D1 ADMIN,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 1 Admin --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23002,59da,MDOT D1 MAT/CN,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 1 Materials/Construction --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23003,59db,MDOT D1 MAINT,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 1 Maintenance --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23100,5a3c,MDOT D2 WIDE,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 2 Wide --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23101,5a3d,MDOT D2 ADMIN,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 2 Admin --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23102,5a3e,MDOT D2 MAT/CN,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 2 Materials/Construction --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23103,5a3f,MDOT D2 MAINT,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 2 Maintenance --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23104,5a40,MDOT D2 F-S,T,MDOT-M - Mississippi Department of Transportation Maintenance,Public Works,District 2 Facilities/Signals --- MDOT-M - Mississippi Department of Transportation Maintenance --- Public Works
23305,5b09,R2-EMS,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 2 EMS Operations --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23306,5b0a,R2-HOSPITAL,T,Med-Com - Mississippi Med-Com Center,Hospital,Region 2 EMS to Hospital ER --- Med-Com - Mississippi Med-Com Center --- Hospital
23307,5b0b,R2-MED TAC1,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 2 Medical Tactical 1 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23308,5b0c,R2-MED TAC2,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 2 Medical Tactical 2 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23309,5b0d,R3-EMS,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 3 EMS Operations --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23310,5b0e,R3-HOSPITAL,T,Med-Com - Mississippi Med-Com Center,Hospital,Region 3 EMS to Hospital ER --- Med-Com - Mississippi Med-Com Center --- Hospital
23311,5b0f,R3-MED TAC1,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 3 Medical Tactical 1 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23312,5b10,R3-MED TAC2,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 3 Medical Tactical 2 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23313,5b11,R4-EMS,Te,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 4 EMS Operations --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23314,5b12,R4-HOSPITAL,T,Med-Com - Mississippi Med-Com Center,Hospital,Region 4 EMS to Hospital ER --- Med-Com - Mississippi Med-Com Center --- Hospital
23315,5b13,R4-MED TAC1,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 4 Medical Tactical 1 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23316,5b14,R4-MED TAC2,T,Med-Com - Mississippi Med-Com Center,EMS-Tac,Region 4 Medical Tactical 2 --- Med-Com - Mississippi Med-Com Center --- EMS-Tac
23401,5b69,MSDH D2 Tac,T,MSDH - Mississippi State Department of Health,Emergency Ops,MSDH District 2 Tactical --- MSDH - Mississippi State Department of Health --- Emergency Ops
23411,5b73,MSDH D3 Tac,T,MSDH - Mississippi State Department of Health,Emergency Ops,MSDH District 3 Tactical --- MSDH - Mississippi State Department of Health --- Emergency Ops
23421,5b7d,MSDH D4 Tac,T,MSDH - Mississippi State Department of Health,Emergency Ops,MSDH District 4 Tactical --- MSDH - Mississippi State Department of Health --- Emergency Ops
23611,5c3b,MFC ELLIOT,T,MFC - Mississippi Forestry Commission,Fire Dispatch,Elliot Office --- MFC - Mississippi Forestry Commission --- Fire Dispatch
23621,5c45,MFC TUPELO,T,MFC - Mississippi Forestry Commission,Fire Dispatch,Tupelo Office --- MFC - Mississippi Forestry Commission --- Fire Dispatch
23653,5c65,F&W NORTH A,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Dispatch,"North A (West) --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Dispatch"
23655,5c67,F&W NORTH B,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Dispatch,"North B (East) --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Dispatch"
23663,5c6f,F&W TAC 4 N,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Tac,"Tactical 4 North --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Tac"
23665,5c71,F&W TAC 5 N,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Tac,"Tactical 5 North --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Tac"
23667,5c73,F&W TAC 6 N,T,"MDWFP - Mississippi Department of Wildlife, Fisheries & Parks",Law Tac,"Tactical 6 North --- MDWFP - Mississippi Department of Wildlife, Fisheries & Parks --- Law Tac"
23840,5d20,MEMA D1 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 1 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
23843,5d23,MEMA D2 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 2 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
23846,5d26,MEMA D3 TAC,T,MEMA - Mississippi Emergency Management Agency,Emergency Ops,District 3 Tactical --- MEMA - Mississippi Emergency Management Agency --- Emergency Ops
23950,5d8e,UM PD Dispatch,T,Colleges and Universities,Law Dispatch,University of Mississippi Campus Police - Dispatch --- Colleges and Universities --- Law Dispatch
23951,5d8f,UM PD 2,T,Colleges and Universities,Law Tac,University of Mississippi Campus Police 2 --- Colleges and Universities --- Law Tac
23952,5d90,UM PD Event 1,T,Colleges and Universities,Law Tac,University of Mississippi Campus Police Event 1 --- Colleges and Universities --- Law Tac
23956,5d94,UM Parking Enf,T,Colleges and Universities,Law Talk,University of Mississippi Campus Police Parking Enforcement --- Colleges and Universities --- Law Talk
23960,5d98,ICC PD DISP,T,Colleges and Universities,Law Dispatch,Itawamba Community College Police - Dispatch --- Colleges and Universities --- Law Dispatch
23965,5d9d,MVSU PD,T,Colleges and Universities,Law Dispatch,Mississippi Valley State University Police --- Colleges and Universities --- Law Dispatch
23987,5db3,NEMCC PD,T,Colleges and Universities,Law Dispatch,Northeast Mississippi Community College Police - Dispatch --- Colleges and Universities --- Law Dispatch
24031,5ddf,MCC PD,T,Colleges and Universities,Law Dispatch,Meridian Community College - Police --- Colleges and Universities --- Law Dispatch
24032,5de0,MCC EVENT 1,T,Colleges and Universities,Multi-Tac,Meridian Community College - Event 1 --- Colleges and Universities --- Multi-Tac
24033,5de1,MCC EVENT 2,T,Colleges and Universities,Multi-Tac,Meridian Community College - Event 2 --- Colleges and Universities --- Multi-Tac
24034,5de2,MCC MAINT,T,Colleges and Universities,Public Works,Meridian Community College - Maintenance --- Colleges and Universities --- Public Works
24040,5de8,MSU PD DISP,T,Colleges and Universities,Law Dispatch,Mississippi State University Campus Police - Dispatch --- Colleges and Universities --- Law Dispatch
30000,7530,01 ADAMS 911,T,Adams County (01),Emergency Ops,County 911 Dispatch --- Adams County (01) --- Emergency Ops
30001,7531,01 EMA N,T,Adams County (01),Emergency Ops,County EMA North --- Adams County (01) --- Emergency Ops
30002,7532,01 EMA S,T,Adams County (01),Emergency Ops,County EMA South --- Adams County (01) --- Emergency Ops
30003,7533,01 WIDE AREA,T,Adams County (01),Multi-Tac,County Wide Area --- Adams County (01) --- Multi-Tac
30004,7534,01 AIRPORT,T,Adams County (01),Public Works,County Airport Command --- Adams County (01) --- Public Works
30005,7535,01 SHERIFF DISP,T,Adams County (01),Law Dispatch,Sheriff - Dispatch --- Adams County (01) --- Law Dispatch
30006,7536,01 SHERIFF NARCS,T,Adams County (01),Law Tac,Sheriff - Narcotics --- Adams County (01) --- Law Tac
30007,7537,01 SHERIFF OPS,T,Adams County (01),Law Tac,Sheriff - Operations --- Adams County (01) --- Law Tac
30008,7538,01 SHERIFF TAC 1,T,Adams County (01),Law Tac,Sheriff - Tactical 1 --- Adams County (01) --- Law Tac
30009,7539,01 NFD CMD,T,Adams County (01),Fire Dispatch,Natchez Fire - Command --- Adams County (01) --- Fire Dispatch
30010,753a,01 NFD OPS,T,Adams County (01),Fire-Tac,Natchez Fire - Operations --- Adams County (01) --- Fire-Tac
30011,753b,01 NPD DISP,T,Adams County (01),Law Dispatch,Natchez Police - Dispatch --- Adams County (01) --- Law Dispatch
30012,753c,01 NPD TAC 1,T,Adams County (01),Law Tac,Natchez Police - Tactical 1 --- Adams County (01) --- Law Tac
30013,753d,01 NPD INV,T,Adams County (01),Law Tac,Natchez Police - Investigations --- Adams County (01) --- Law Tac
30014,753e,01 NATCHEZ OPS,T,Adams County (01),Public Works,Natchez Operations --- Adams County (01) --- Public Works
30015,753f,01 NAT PUB WKS,T,Adams County (01),Public Works,Natchez Public Works --- Adams County (01) --- Public Works
30016,7540,01 NDPW OPS,T,Adams County (01),Public Works,Natchez Public Works Operations --- Adams County (01) --- Public Works
30017,7541,01 SAR CMD,T,Adams County (01),Emergency Ops,County SAR Command --- Adams County (01) --- Emergency Ops
30018,7542,01 SAR OPS,T,Adams County (01),Emergency Ops,County SAR Operations --- Adams County (01) --- Emergency Ops
30401,76c1,03-AMITE SO,T,Amite County (03),Law Dispatch,Sheriff - Dispatch --- Amite County (03) --- Law Dispatch
30410,76ca,03-GLOSTER PD,T,Amite County (03),Law Dispatch,Gloster Police --- Amite County (03) --- Law Dispatch
30412,76cc,03-LIBERTY PD,T,Amite County (03),Law Dispatch,Liberty Police --- Amite County (03) --- Law Dispatch
30416,76d0,03-AMITE EMA,T,Amite County (03),Fire Dispatch,County Fire Dispatch --- Amite County (03) --- Fire Dispatch
30725,7805,16 EMA PRI,T,Covington County (16),Emergency Ops,EMA Primary --- Covington County (16) --- Emergency Ops
30727,7807,16 SO DISP,T,Covington County (16),Law Dispatch,Sheriff Dispatch --- Covington County (16) --- Law Dispatch
30729,7809,16 SO TAC,T,Covington County (16),Law Tac,Sheriff Tactical --- Covington County (16) --- Law Tac
30735,780f,16-CO FIRE DISP,T,Covington County (16),Fire Dispatch,County Fire - Dispatch --- Covington County (16) --- Fire Dispatch
30738,7812,16-EMS DISP,T,Covington County (16),EMS Dispatch,EMS - Dispatch --- Covington County (16) --- EMS Dispatch
30745,7819,16-COL PD DISP,T,Covington County (16),Law Dispatch,Collins Police Department - Dispatch --- Covington County (16) --- Law Dispatch
30760,7828,16-COL FD DISP,T,Covington County (16),Fire Dispatch,Collins Fire - Dispatch --- Covington County (16) --- Fire Dispatch
30761,7829,16-COL FD FG 1,T,Covington County (16),Fire-Tac,Collins Fire - Fireground 1 --- Covington County (16) --- Fire-Tac
30762,782a,16-COL FD FG 2,T,Covington County (16),Fire-Tac,Collins Fire - Fireground 2 --- Covington County (16) --- Fire-Tac
30763,782b,16 EMA TAC,T,Covington County (16),Emergency Ops,Emergency Management Tactical --- Covington County (16) --- Emergency Ops
31053,794d,18-HPD ATG,T,Forrest County (18),Law Dispatch,Hattiesburg Police - All Call --- Forrest County (18) --- Law Dispatch
31054,794e,18-HPD A DSP,T,Forrest County (18),Law Dispatch,Hattiesburg Police - CH A Dispatch --- Forrest County (18) --- Law Dispatch
31055,794f,18-HPD B ,TE,Forrest County (18),Law Tac,Hattiesburg Police - CH B NCIC --- Forrest County (18) --- Law Tac
31056,7950,18-HPD C,TE,Forrest County (18),Law Tac,Hattiesburg Police - CH C --- Forrest County (18) --- Law Tac
31057,7951,18-HPD E,TE,Forrest County (18),Law Tac,Hattiesburg Police - CH E --- Forrest County (18) --- Law Tac
31059,7953,18-FC EOC 1,T,Forrest County (18),Emergency Ops,County Emergency Operations Center 1 --- Forrest County (18) --- Emergency Ops
31060,7954,18-FC EOC 2,T,Forrest County (18),Emergency Ops,County Emergency Operations Center 2 --- Forrest County (18) --- Emergency Ops
31065,7959,18-HFD DISP,T,Forrest County (18),Fire Dispatch,Hattiesburg Fire - Dispatch --- Forrest County (18) --- Fire Dispatch
31066,795a,18-HFD TAC A,T,Forrest County (18),Fire-Tac,Hattiesburg Fire - Tactical A --- Forrest County (18) --- Fire-Tac
31067,795b,18-HFD TAC B,T,Forrest County (18),Fire-Tac,Hattiesburg Fire - Tactical B --- Forrest County (18) --- Fire-Tac
31071,795f,18-LAW TAC 1,T,Forrest County (18),Law Tac,County Law Tactical 1 --- Forrest County (18) --- Law Tac
31072,7960,18-LAW TAC 2,T,Forrest County (18),Law Tac,County Law Tactical 2 --- Forrest County (18) --- Law Tac
31073,7961,18-LAW TAC 3,T,Forrest County (18),Law Tac,County Law Tactical 3 --- Forrest County (18) --- Law Tac
31074,7962,18-LAW TAC 4,T,Forrest County (18),Law Tac,County Law Tactical 4 --- Forrest County (18) --- Law Tac
31075,7963,18-LAW TAC 5,T,Forrest County (18),Law Tac,County Law Tactical 5 --- Forrest County (18) --- Law Tac
31076,7964,18-HPD D,T,Forrest County (18),Law Talk,Hattiesburg Police - CH D (Forrest County Law Common) --- Forrest County (18) --- Law Talk
31077,7965,18-FIRECOM,T,Forrest County (18),Fire-Tac,County Fire Common --- Forrest County (18) --- Fire-Tac
31078,7966,18-MEDCOM,T,Forrest County (18),EMS-Tac,County Medical Common --- Forrest County (18) --- EMS-Tac
31079,7967,18-HBGCOM,T,Forrest County (18),Interop,Hattiesburg Citywide Common --- Forrest County (18) --- Interop
31081,7969,18-HBG AC OP,T,Forrest County (18),Law Tac,Hattiesburg Animal Control Operations --- Forrest County (18) --- Law Tac
31083,796b,18-HBG WTR 1,T,Forrest County (18),Utilities,Hattiesburg Water Department 1 --- Forrest County (18) --- Utilities
31089,7971,18-HBG PARKS,T,Forrest County (18),Public Works,Hattiesburg Parks And Recreation  --- Forrest County (18) --- Public Works
31100,797c,18-SO ALPHA,T,Forrest County (18),Law Dispatch,Sheriff - A Dispatch --- Forrest County (18) --- Law Dispatch
31101,797d,18-SO BRAVO,T,Forrest County (18),Law Tac,Sheriff - B Tactical --- Forrest County (18) --- Law Tac
31106,7982,18-VFD DISP1,T,Forrest County (18),Fire Dispatch,County Fire - Dispatch  --- Forrest County (18) --- Fire Dispatch
31107,7983,18-VFD TAC 1,T,Forrest County (18),Fire-Tac,County Fire - Tactical 1 --- Forrest County (18) --- Fire-Tac
31108,7984,18-VFD TAC 2,T,Forrest County (18),Fire-Tac,County Fire - Tactical 2 --- Forrest County (18) --- Fire-Tac
31119,798f,18-PPD DSP A,T,Forrest County (18),Law Dispatch,Petal Police - A  Dispatch  --- Forrest County (18) --- Law Dispatch
31120,7990,18-PPD CAR B,T,Forrest County (18),Law Talk,Petal Police - B Car to Car  --- Forrest County (18) --- Law Talk
31125,7995,18-PFD DISP,T,Forrest County (18),Fire Dispatch,Petal Fire - Dispatch --- Forrest County (18) --- Fire Dispatch
31126,7996,18-PFD TAC 1,T,Forrest County (18),Fire-Tac,Petal Fire - Tactical 1 --- Forrest County (18) --- Fire-Tac
31132,799c,18-FGH PD A,T,Forrest County (18),Law Dispatch,Forrest General Hospital - Police A - Dispatch --- Forrest County (18) --- Law Dispatch
31133,799d,18-FGH PD B,T,Forrest County (18),Law Talk,Forrest General Hospital - Police B - Car to Car --- Forrest County (18) --- Law Talk
31136,79a0,18-FGH ENG 1,T,Forrest County (18),Business,Forrest General Hospital - Engineering Main --- Forrest County (18) --- Business
31138,79a2,18-FGH EHLP,T,Forrest County (18),Business,Forrest General Hospital - Engineering Help Desk --- Forrest County (18) --- Business
31140,79a4,USM PD DISP,T,Colleges and Universities,Law Dispatch,University of Southern Mississippi Police - Dispatch --- Colleges and Universities --- Law Dispatch
31141,79a5,USM PD C-C,T,Colleges and Universities,Law Talk,University of Southern Mississippi Police - Car to Car --- Colleges and Universities --- Law Talk
31142,79a6,USM CSO,T,Colleges and Universities,Security,University of Southern Mississippi - Campus Security Officers --- Colleges and Universities --- Security
31143,79a7,USM PARKING MGT,T,Colleges and Universities,Security,University of Southern Mississippi - Parking Management --- Colleges and Universities --- Security
31144,79a8,USM PHYPLANT,T,Colleges and Universities,Public Works,University of Southern Mississippi - Physical Plant --- Colleges and Universities --- Public Works
31146,79aa,USM UNION,T,Colleges and Universities,Schools,University of Southern Mississippi - Union --- Colleges and Universities --- Schools
31148,79ac,USM ATHLETICS,T,Colleges and Universities,Schools,University of Southern Mississippi - Athletics --- Colleges and Universities --- Schools
31149,79ad,USM RL VILLAGE,T,Colleges and Universities,Schools,University of Southern Mississippi - Res. Life - VIllage --- Colleges and Universities --- Schools
31150,79ae,USM RL MAINT,T,Colleges and Universities,Schools,University of Southern Mississippi - Res. Life - Maintenance --- Colleges and Universities --- Schools
31151,79af,USM RL CUST,T,Colleges and Universities,Schools,University of Southern Mississippi - Res. Life - Custodians --- Colleges and Universities --- Schools
31163,79bb,CSJTC FIRE 1,T,MMD - Mississippi Military Department,Fire Dispatch,Camp Shelby Joint Forces Training Center - Fire Dispatch --- MMD - Mississippi Military Department --- Fire Dispatch
31164,79bc,USM GCRL,T,Colleges and Universities,Schools,University of Southern Mississippi Gulf Coast Research Laboratory --- Colleges and Universities --- Schools
31379,7a93,19 SO DISP,T,Franklin County (19),Law Dispatch,Sheriff Dispatch --- Franklin County (19) --- Law Dispatch
31380,7a94,19 SO TAC,T,Franklin County (19),Law Tac,Sheriff - Tactical 1 --- Franklin County (19) --- Law Tac
31381,7a95,19 SO ADMIN,T,Franklin County (19),Law Talk,Sheriff - Administrative --- Franklin County (19) --- Law Talk
31705,7bd9,20 SO 1,T,George County (20),Law Dispatch,Sheriff 1 --- George County (20) --- Law Dispatch
31707,7bdb,20 SO 2,T,George County (20),Law Tac,Sheriff 2 --- George County (20) --- Law Tac
31709,7bdd,20 SO 3,T,George County (20),Law Tac,Sheriff 3 --- George County (20) --- Law Tac
31711,7bdf,20 SO 4,T,George County (20),Law Tac,Sheriff 4 --- George County (20) --- Law Tac
31725,7bed,20 SDPD,T,George County (20),Law Dispatch,School District Campus Police --- George County (20) --- Law Dispatch
31805,7c3d,20 LPD 1,T,George County (20),Law Dispatch,Lucedale Police Department 1 --- George County (20) --- Law Dispatch
31807,7c3f,20 LPD 2,T,George County (20),Law Tac,Lucedale Police Department 2 --- George County (20) --- Law Tac
31851,7c6b,20 LFD/EMS,T,George County (20),Fire Dispatch,Lucedale Fire/EMS --- George County (20) --- Fire Dispatch
32357,7e65,23-SHERIFF 1,T,Hancock County (23),Law Dispatch,Sheriff Dispatch --- Hancock County (23) --- Law Dispatch
32358,7e66,23-CW PD DSP,T,Hancock County (23),Law Dispatch,Countywide Police Dispatch --- Hancock County (23) --- Law Dispatch
32358,7e66,23-WLND PD DISP,T,Hancock County (23),Law Dispatch,Waveland Police - Dispatch --- Hancock County (23) --- Law Dispatch
32367,7e6f,23-BSL EVENT1,T,Hancock County (23),Multi-Tac,Bay St. Louis Special Events --- Hancock County (23) --- Multi-Tac
32367,7e6f,23-GENCOM-1,T,Hancock County (23),Interop,County General Communications 1 --- Hancock County (23) --- Interop
32368,7e70,23-GENCOM-2,T,Hancock County (23),Interop,County General Communications 2 --- Hancock County (23) --- Interop
32369,7e71,23-GENCOM-3,T,Hancock County (23),Interop,County General Communications 3 --- Hancock County (23) --- Interop
32370,7e72,23-GENCOM-4,T,Hancock County (23),Interop,County General Communications 4 --- Hancock County (23) --- Interop
32371,7e73,23-GENCOM-5,T,Hancock County (23),Interop,County General Communications 5 --- Hancock County (23) --- Interop
32374,7e76,23-BSL PD DISP,T,Hancock County (23),Law Dispatch,Bay St. Louis Police - Dispatch --- Hancock County (23) --- Law Dispatch
